parcelid	land use	zoning	assessed total	appraised total

03230000200	Commercial  	J. Industrial	$123,200.00	$385,000.00
04830302200	vacant residential lot  	D. Multiple Family Residential	$3,760.00	$19,800.00
05570000400	Commercial  	I. Central Business District	$9,900.00	$30,900.00
04840003200	single family units  	B. Two Family Residential	$26,140.00	$137,600.00
02570000210	Commercial  	D. Multiple Family Residential	$2,800.00	$8,800.00
06190501100	vacant residential lot  	C. Multiple Family Residential	$1,050.00	$5,500.00
04040000300	single family units  	D. Multiple Family Residential	$29,390.00	$154,700.00
04550000510	Commercial  	K. Unrestricted	$61,900.00	$193,400.00
02230000200	Commercial  	K. Unrestricted	$58,900.00	$184,100.00
06060000350	Commercial  	K. Unrestricted	$1,400.00	$4,400.00
01270000160	Commercial  	I. Central Business District	$3,456,300.00	$10,800,900.00
05210000500	Commercial  	I. Central Business District	$209,000.00	$653,100.00
00940000200	Commercial  	L. Jefferson Memorial District	$156,100.00	$487,800.00
02700000500	Commercial  	J. Industrial	$16,000.00	$50,000.00
05760001750	Commercial  	J. Industrial	$50,300.00	$157,200.00
03290000750	Commercial  	K. Unrestricted	$6,500.00	$20,300.00
06590000230				
03830001840				
02280000300	Commercial  	K. Unrestricted	$18,400.00	$57,500.00
03830002400	two family unit  	D. Multiple Family Residential	$41,060.00	$216,100.00
02060600900	Commercial  	I. Central Business District	$0.00	$0.00
00180000920	Commercial  	L. Jefferson Memorial District	$10,600.00	$33,100.00
01920080260	 	I. Central Business District		
05160000900	Commercial  	I. Central Business District	$489,700.00	$1,530,300.00
04640401300	single family units  	D. Multiple Family Residential	$25,840.00	$136,000.00
05520000270	Commercial  	D. Multiple Family Residential	$17,200.00	$53,800.00
04620500400	Commercial  	I. Central Business District	$29,500.00	$92,200.00
05950000100	Commercial  	C. Multiple Family Residential	$8,300.00	$25,900.00
04750001680	single family units  	A. Single Family Residential	$33,630.00	$177,000.00
06220000100	Commercial  	G. Local Commercial and Office	$1,200.00	$3,800.00
04200000150	Commercial  	J. Industrial, K. Unrestricted	$245,000.00	$765,600.00
01730000100				
06030000520	Commercial  	J. Industrial	$4,200.00	$13,100.00
06710000600				
04950000100	Commercial  	I. Central Business District	$0.00	$0.00
03820000700				
04030000800	vacant residential lot  	D. Multiple Family Residential	$3,860.00	$20,300.00
06390001000	vacant residential lot  	D. Multiple Family Residential	$300.00	$1,600.00
05030000800	Commercial  	I. Central Business District	$34,600.00	$108,100.00
02640000050	Commercial  	D. Multiple Family Residential	$1,100.00	$3,400.00
06410000100	multi-family residential  	D. Multiple Family Residential, F. Neighborhood Commercial	$141,930.00	$747,000.00
03450001300	vacant residential lot  	J. Industrial	$340.00	$1,800.00
02180000400	Commercial  	I. Central Business District	$0.00	$0.00
05200400360				
06730100830	multi-family residential  	G. Local Commercial and Office	$38,530.00	$202,800.00
03600001500	Commercial  	D. Multiple Family Residential	$10,200.00	$31,900.00
01490000350	Commercial  	I. Central Business District	$70,500.00	$220,300.00
02160001400	Commercial  	I. Central Business District	$0.00	$0.00
01190000110				
04820300100	Commercial  	C. Multiple Family Residential	$22,600.00	$70,600.00
04850001100	single family units  	B. Two Family Residential	$57,630.00	$303,300.00
04050002000	Commercial  	D. Multiple Family Residential	$54,200.00	$169,400.00
00480000700	Commercial  	K. Unrestricted	$51,000.00	$159,400.00
04080000900	single family units  	D. Multiple Family Residential	$14,730.00	$77,500.00
03590000900	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
03380001300	two family unit  	J. Industrial	$1,480.00	$7,800.00
05670000300	vacant residential lot  	D. Multiple Family Residential	$26,700.00	$140,500.00
07830000400	two family unit  	D. Multiple Family Residential	$21,870.00	$115,100.00
03400000200	Commercial  	J. Industrial	$2,500.00	$7,800.00
03920500100	Commercial  	D. Multiple Family Residential	$148,500.00	$464,100.00
04170000130	Commercial  	I. Central Business District	$10,000.00	$31,300.00
03650000400	vacant residential lot  	J. Industrial	$230.00	$1,200.00
01810000300	Commercial  	I. Central Business District	$416,800.00	$1,302,500.00
05110000200	Commercial  	I. Central Business District	$64,000.00	$200,000.00
03360000300	Commercial  	K. Unrestricted	$23,800.00	$74,400.00
02400000200	Commercial  	K. Unrestricted	$39,000.00	$121,900.00
03140000400	Commercial  	K. Unrestricted	$66,400.00	$207,500.00
00860000200	Commercial  	L. Jefferson Memorial District	$9,800.00	$30,600.00
02620000500	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
03470000300	Commercial  	J. Industrial	$900.00	$2,800.00
04830304300	vacant residential lot  	D. Multiple Family Residential	$1,540.00	$8,100.00
00160000450	Commercial  	L. Jefferson Memorial District	$3,800.00	$11,900.00
07140000350	Commercial  	K. Unrestricted	$407,300.00	$1,272,800.00
05160000300	Commercial  	I. Central Business District	$73,300.00	$229,100.00
04630300750	Commercial  	I. Central Business District	$26,300.00	$82,200.00
01520001850	Commercial  	I. Central Business District	$6,300.00	$19,700.00
06610300700	Commercial  	K. Unrestricted	$25,500.00	$79,700.00
06350001000	two family unit  	D. Multiple Family Residential	$270.00	$1,400.00
06660001700	single family units  	D. Multiple Family Residential	$23,120.00	$121,700.00
00410001600	Commercial  	L. Jefferson Memorial District	$1,500.00	$4,700.00
02060600300	Commercial  	I. Central Business District	$0.00	$0.00
04750001810	single family units  	A. Single Family Residential	$32,470.00	$170,900.00
07810001400	single family units  	D. Multiple Family Residential	$35,720.00	$188,000.00
03690000400	Commercial  	G. Local Commercial and Office	$110,500.00	$345,300.00
06810001400	multi-family residential  	D. Multiple Family Residential	$66,850.00	$351,800.00
05380000400	Commercial  	J. Industrial	$26,800.00	$83,800.00
06240002300	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
06630000600	Commercial  	G. Local Commercial and Office	$6,100.00	$19,100.00
04090002000	single family units  	D. Multiple Family Residential	$22,800.00	$120,000.00
04660301650	vacant residential lot  	D. Multiple Family Residential	$6,780.00	$35,700.00
05870000100	Commercial  	J. Industrial	$8,400.00	$26,300.00
04830302800	vacant residential lot  	D. Multiple Family Residential	$3,550.00	$18,700.00
04510000150	Commercial  	K. Unrestricted	$19,500.00	$60,900.00
01020000100	Commercial  	L. Jefferson Memorial District	$840,000.00	$2,625,000.00
00270000700	Commercial  	L. Jefferson Memorial District	$232,000.00	$725,000.00
01510000600	Commercial  	I. Central Business District	$30,800.00	$96,300.00
03400000800	Commercial  	J. Industrial	$400.00	$1,300.00
04820902160	Commercial  	C. Multiple Family Residential	$7,500.00	$23,400.00
03380001900	vacant residential lot  	D. Multiple Family Residential	$300.00	$1,600.00
03590000300	Commercial  	D. Multiple Family Residential	$16,300.00	$50,900.00
03900000390	vacant residential lot  	D. Multiple Family Residential	$1,010.00	$5,300.00
04750001470	vacant residential lot  	A. Single Family Residential	$1,860.00	$9,800.00
05970001100	Commercial  	J. Industrial	$5,100.00	$15,900.00
02740080210	Commercial  	I. Central Business District		
